date_of_birth,gender,marital_status,religion,nationality,cnic,father_name,father_occupation,semester,address
1817-05-30,female,single,Islam,Pakistani,456784567845678,Zainul Abideen,Accountant,8,5678 Street Karachi
1816-06-01,male,married,Islam,Pakistani,567895678956789,Zakir Khan,Professor,1,9012 Street Islamabad
1815-07-02,female,other,Islam,Pakistani,678906789067890,Zara Ahmed,Artist,2,1234 Street Lahore
1814-08-03,male,single,Islam,Pakistani,789017890178901,Zeeshan Ali,Engineer,3,5678 Street Karachi
1813-09-04,female,married,Islam,Pakistani,890128901289012,Zia Ahmed,Doctor,4,9012 Street Islamabad
1812-10-05,male,other,Islam,Pakistani,901239012390123,Zubair Ali,Teacher,5,1234 Street Lahore
1811-11-06,female,single,Islam,Pakistani,012340123401234,Zubair Ahmed,Accountant,6,5678 Street Karachi
1810-12-07,male,married,Islam,Pakistani,123451234512345,Ahmed Ali,Professor,7,9012 Street Islamabad
1809-01-08,female,other,Islam,Pakistani,234562345623456,Asad Khan,Artist,8,1234 Street Lahore
1808-02-09,male,single,Islam,Pakistani,345673456734567,Asad Ahmed,Engineer,1,5678 Street Karachi
1807-03-10,female,married,Islam,Pakistani,456784567845678,Bilal Khan,Doctor,2,9012 Street Islamabad
1806-04-11,male,other,Islam,Pakistani,567895678956789,Faisal Ahmed,Teacher,3,1234 Street Lahore
1805-05-12,female,single,Islam,Pakistani,678906789067890,Ghulam Ali,Accountant,4,5678 Street Karachi
1804-06-13,male,married,Islam,Pakistani,789017890178901,Hassan Khan,Professor,5,9012 Street Islamabad
1803-07-14,female,other,Islam,Pakistani,890128901289012,Imran Ahmed,Artist,6,1234 Street Lahore
1802-08-15,male,single,Islam,Pakistani,901239012390123,Javed Ali,Engineer,7,5678 Street Karachi
1801-09-16,female,married,Islam,Pakistani,012340123401234,Khalid Khan,Doctor,8,9012 Street Islamabad
1800-10-17,male,other,Islam,Pakistani,123451234512345,Mohammad Hassan,Teacher,1,1234 Street Lahore
1799-11-18,female,single,Islam,Pakistani,234562345623456,Obaid Ali,Accountant,2,5678 Street Karachi
1798-12-19,male,married,Islam,Pakistani,345673456734567,Shahid Khan,Professor,3,9012 Street Islamabad
1797-01-20,female,other,Islam,Pakistani,456784567845678,Waheed Ahmed,Artist,4,1234 Street Lahore
1796-02-21,male,single,Islam,Pakistani,567895678956789,Yasir Ali,Engineer,5,5678 Street Karachi
1795-03-22,female,married,Islam,Pakistani,678906789067890,Zubair Khan,Doctor,6,9012 Street Islamabad
1794-04-23,male,other,Islam,Pakistani,789017890178901,Asad Ahmed,Teacher,7,1234 Street Lahore
1793-05-24,female,single,Islam,Pakistani,890128901289012,Bilal Ali,Accountant,8,5678 Street Karachi
1792-06-25,male,married,Islam,Pakistani,901239012390123,Fahad Khan,Professor,1,9012 Street Islamabad
1791-07-26,female,other,Islam,Pakistani,012340123401234,Faisal Ahmed,Artist,2,1234 Street Lahore
1790-08-27,male,single,Islam,Pakistani,123451234512345,Ghulam Ali,Engineer,3,5678 Street Karachi
1789-09-28,female,married,Islam,Pakistani,234562345623456,Haris Ali,Doctor,4,9012 Street Islamabad
1788-10-29,male,other,Islam,Pakistani,345673456734567,Imran Khan,Teacher,5,1234 Street Lahore
1787-11-30,female,single,Islam,Pakistani,456784567845678,Javed Ahmed,Accountant,6,5678 Street Karachi
1786-12-31,male,married,Islam,Pakistani,567895678956789,Kamran Ali,Professor,7,9012 Street Islamabad
1785-01-01,female,other,Islam,Pakistani,678906789067890,Khalid Ahmed,Artist,8,1234 Street Lahore
1784-02-02,male,single,Islam,Pakistani,789017890178901,Mohammad Ali,Engineer,1,5678 Street Karachi
1783-03-03,female,married,Islam,Pakistani,890128901289012,Nadeem Khan,Doctor,2,9012 Street Islamabad
1782-04-04,male,other,Islam,Pakistani,901239012390123,Obaid Ahmed,Teacher,3,1234 Street Lahore
1781-05-05,female,single,Islam,Pakistani,012340123401234,Rizwan Ali,Accountant,4,5678 Street Karachi
1780-06-06,male,married,Islam,Pakistani,123451234512345,Saad Ahmed,Professor,5,9012 Street Islamabad
1779-07-07,female,other,Islam,Pakistani,234562345623456,Sajid Khan,Artist,6,1234 Street Lahore
1778-08-08,male,single,Islam,Pakistani,345673456734567,Sajjad Ahmed,Engineer,7,5678 Street Karachi
1777-09-09,female,married,Islam,Pakistani,456784567845678,Salman Ali,Doctor,8,9012 Street Islamabad
1776-10-10,male,other,Islam,Pakistani,567895678956789,Sami Khan,Teacher,1,1234 Street Lahore
1775-11-11,female,single,Islam,Pakistani,678906789067890,Saqib Ali,Accountant,2,5678 Street Karachi
1774-12-12,male,married,Islam,Pakistani,789017890178901,Shahbaz Ahmed,Professor,3,9012 Street Islamabad
1773-01-13,female,other,Islam,Pakistani,890128901289012,Shahid Ali,Artist,4,1234 Street Lahore
1772-02-14,male,single,Islam,Pakistani,901239012390123,Shakeel Ahmed,Engineer,5,5678 Street Karachi
1771-03-15,female,married,Islam,Pakistani,012340123401234,Shoaib Khan,Doctor,6,9012 Street Islamabad
1770-04-16,male,other,Islam,Pakistani,123451234512345,Sohail Ahmed,Teacher,7,1234 Street Lahore
1769-05-17,female,single,Islam,Pakistani,234562345623456,Taimoor Ali,Accountant,8,5678 Street Karachi
1768-06-18,male,married,Islam,Pakistani,345673456734567,Talha Ahmed,Professor,1,9012 Street Islamabad
1767-07-19,female,other,Islam,Pakistani,456784567845678,Tariq Ali,Artist,2,1234 Street Lahore
1766-08-20,male,single,Islam,Pakistani,567895678956789,Waqas Ahmed,Engineer,3,5678 Street Karachi
1765-09-21,female,married,Islam,Pakistani,678906789067890,Waseem Khan,Doctor,4,9012 Street Islamabad
1764-10-22,male,other,Islam,Pakistani,789017890178901,Yasir Ahmed,Teacher,5,1234 Street Lahore
1763-11-23,female,single,Islam,Pakistani,890128901289012,Yasir Khan,Accountant,6,5678 Street Karachi
1762-12-24,male,married,Islam,Pakistani,901239012390123,Zafar Ali,Professor,7,9012 Street Islamabad
1761-01-25,female,other,Islam,Pakistani,012340123401234,Zahid Ahmed,Artist,8,1234 Street Lahore
1760-02-26,male,single,Islam,Pakistani,123451234512345,Zaid Khan,Engineer,1,5678 Street Karachi
1759-03-27,female,married,Islam,Pakistani,234562345623456,Zain Ahmed,Doctor,2,9012 Street Islamabad
1758-04-28,male,other,Islam,Pakistani,345673456734567,Zainab Khan,Teacher,3,1234 Street Lahore
1757-05-29,female,single,Islam,Pakistani,456784567845678,Zainul Abideen,Accountant,4,5678 Street Karachi
1756-06-30,male,married,Islam,Pakistani,567895678956789,Zakir Khan,Professor,5,9012 Street Islamabad
1755-07-01,female,other,Islam,Pakistani,678906789067890,Zara Ahmed,Artist,6,1234 Street Lahore
1754-08-02,male,single,Islam,Pakistani,789017890178901,Zeeshan Ali,Engineer,7,5678 Street Karachi
1753-09-03,female,married,Islam,Pakistani,890128901289012,Zia Ahmed,Doctor,8,9012 Street Islamabad
1752-10-04,male,other,Islam,Pakistani,901239012390123,Zubair Ali,Teacher,1,1234 Street Lahore
1751-11-05,female,single,Islam,Pakistani,012340123401234,Zubair Ahmed,Accountant,2,5678 Street Karachi
1750-12-06,male,married,Islam,Pakistani,123451234512345,Ahmed Ali,Professor,3,9012 Street Islamabad
1749-01-07,female,other,Islam,Pakistani,234562345623456,Asad Khan,Artist,4,1234 Street Lahore
1748-02-08,male,single,Islam,Pakistani,345673456734567,Asad Ahmed,Engineer,5,5678 Street Karachi
1747-03-09,female,married,Islam,Pakistani,456784567845678,Bilal Khan,Doctor,6,9012 Street Islamabad
1746-04-10,male,other,Islam,Pakistani,567895678956789,Faisal Ahmed,Teacher,7,1234 Street Lahore
1745-05-11,female,single,Islam,Pakistani,678906789067890,Ghulam Ali,Accountant,8,5678 Street Karachi
1744-06-12,male,married,Islam,Pakistani,789017890178901,Hassan Khan,Professor,1,9012 Street Islamabad
1743-07-13,female,other,Islam,Pakistani,890128901289012,Imran Ahmed,Artist,2,1234 Street Lahore
1742-08-14,male,single,Islam,Pakistani,901239012390123,Javed Ali,Engineer,3,5678 Street Karachi
1741-09-15,female,married,Islam,Pakistani,012340123401234,Khalid Khan,Doctor,4,9012 Street Islamabad
1740-10-16,male,other,Islam,Pakistani,123451234512345,Mohammad Hassan,Teacher,5,1234 Street Lahore
1739-11-17,female,single,Islam,Pakistani,234562345623456,Obaid Ali,Accountant,6,5678 Street Karachi
1738-12-18,male,married,Islam,Pakistani,345673456734567,Shahid Khan,Professor,7,9012 Street Islamabad
1737-01-19,female,other,Islam,Pakistani,456784567845678,Waheed Ahmed,Artist,8,1234 Street Lahore
1736-02-20,male,single,Islam,Pakistani,567895678956789,Yasir Ali,Engineer,1,5678 Street Karachi
1735-03-21,female,married,Islam,Pakistani,678906789067890,Zubair Khan,Doctor,2,9012 Street Islamabad
1734-04-22,male,other,Islam,Pakistani,789017890178901,Asad Ahmed,Teacher,3,1234 Street Lahore
1733-05-23,female,single,Islam,Pakistani,890128901289012,Bilal Ali,Accountant,4,5678 Street Karachi
1732-06-24,male,married,Islam,Pakistani,901239012390123,Fahad Khan,Professor,5,9012 Street Islamabad
1731-07-25,female,other,Islam,Pakistani,012340123401234,Faisal Ahmed,Artist,6,1234 Street Lahore
1730-08-26,male,single,Islam,Pakistani,123451234512345,Ghulam Ali,Engineer,7,5678 Street Karachi
1729-09-27,female,married,Islam,Pakistani,234562345623456,Haris Ali,Doctor,8,9012 Street Islamabad
1728-10-28,male,other,Islam,Pakistani,345673456734567,Imran Khan,Teacher,1,1234 Street Lahore
1727-11-29,female,single,Islam,Pakistani,456784567845678,Javed Ahmed,Accountant,2,5678 Street Karachi
1726-12-30,male,married,Islam,Pakistani,567895678956789,Kamran Ali,Professor,3,9012 Street Islamabad
1725-01-31,female,other,Islam,Pakistani,678906789067890,Khalid Ahmed,Artist,4,1234 Street Lahore
1724-03-01,male,single,Islam,Pakistani,789017890178901,Mohammad Ali,Engineer,5,5678 Street Karachi
1723-04-02,female,married,Islam,Pakistani,890128901289012,Nadeem Khan,Doctor,6,9012 Street Islamabad
1722-05-03,male,other,Islam,Pakistani,901239012390123,Obaid Ahmed,Teacher,7,1234 Street Lahore
1721-06-04,female,single,Islam,Pakistani,012340123401234,Rizwan Ali,Accountant,8,5678 Street Karachi
1720-07-05,male,married,Islam,Pakistani,123451234512345,Saad Ahmed,Professor,1,9012 Street Islamabad
1719-08-06,female,other,Islam,Pakistani,234562345623456,Sajid Khan,Artist,2,1234 Street Lahore
1718-09-07,male,single,Islam,Pakistani,345673456734567,Sajjad Ahmed,Engineer,3,5678 Street Karachi
1717-10-08,female,married,Islam,Pakistani,456784567845678,Salman Ali,Doctor,4,9012 Street Islamabad
1716-11-09,male,other,Islam,Pakistani,567895678956789,Sami Khan,Teacher,5,1234 Street Lahore
1715-12-10,female,single,Islam,Pakistani,678906789067890,Saqib Ali,Accountant,6,5678 Street Karachi
1714-01-11,male,married,Islam,Pakistani,789017890178901,Shahbaz Ahmed,Professor,7,9012 Street Islamabad
1713-02-12,female,other,Islam,Pakistani,890128901289012,Shahid Ali,Artist,8,1234 Street Lahore
1712-03-13,male,single,Islam,Pakistani,901239012390123,Shakeel Ahmed,Engineer,1,5678 Street Karachi
1711-04-14,female,married,Islam,Pakistani,012340123401234,Shoaib Khan,Doctor,2,9012 Street Islamabad
1710-05-15,male,other,Islam,Pakistani,123451234512345,Sohail Ahmed,Teacher,3,1234 Street Lahore
1709-06-16,female,single,Islam,Pakistani,234562345623456,Taimoor Ali,Accountant,4,5678 Street Karachi
1708-07-17,male,married,Islam,Pakistani,345673456734567,Talha Ahmed,Professor,5,9012 Street Islamabad
1707-08-18,female,other,Islam,Pakistani,456784567845678,Tariq Ali,Artist,6,1234 Street Lahore
1706-09-19,male,single,Islam,Pakistani,567895678956789,Waqas Ahmed,Engineer,7,5678 Street Karachi
1705-10-20,female,married,Islam,Pakistani,678906789067890,Waseem Khan,Doctor,8,9012 Street Islamabad
1704-11-21,male,other,Islam,Pakistani,789017890178901,Yasir Ahmed,Teacher,1,1234 Street Lahore
1703-12-22,female,single,Islam,Pakistani,890128901289012,Yasir Khan,Accountant,2,5678 Street Karachi
1702-01-23,male,married,Islam,Pakistani,901239012390123,Zafar Ali,Professor,3,9012 Street Islamabad
1701-02-24,female,other,Islam,Pakistani,012340123401234,Zahid Ahmed,Artist,4,1234 Street Lahore
1700-03-25,male,single,Islam,Pakistani,123451234512345,Zaid Khan,Engineer,5,5678 Street Karachi
1699-04-26,female,married,Islam,Pakistani,234562345623456,Zain Ahmed,Doctor,6,9012 Street Islamabad
1698-05-27,male,other,Islam,Pakistani,345673456734567,Zainab Khan,Teacher,7,1234 Street Lahore
1697-06-28,female,single,Islam,Pakistani,456784567845678,Zainul Abideen,Accountant,8,5678 Street Karachi
1696-07-29,male,married,Islam,Pakistani,567895678956789,Zakir Khan,Professor,1,9012 Street Islamabad
1695-08-30,female,other,Islam,Pakistani,678906789067890,Zara Ahmed,Artist,2,1234 Street Lahore
1694-09-01,male,single,Islam,Pakistani,789017890178901,Zeeshan Ali,Engineer,3,5678 Street Karachi
1693-10-02,female,married,Islam,Pakistani,890128901289012,Zia Ahmed,Doctor,4,9012 Street Islamabad
1692-11-03,male,other,Islam,Pakistani,901239012390123,Zubair Ali,Teacher,5,1234 Street Lahore
1691-12-04,female,single,Islam,Pakistani,012340123401234,Zubair Ahmed,Accountant,6,5678 Street Karachi
1690-01-05,male,married,Islam,Pakistani,123451234512345,Ahmed Ali,Professor,7,9012 Street Islamabad
1689-02-06,female,other,Islam,Pakistani,234562345623456,Asad Khan,Artist,8,1234 Street Lahore
1688-03-07,male,single,Islam,Pakistani,345673456734567,Asad Ahmed,Engineer,1,5678 Street Karachi
1687-04-08,female,married,Islam,Pakistani,456784567845678,Bilal Khan,Doctor,2,9012 Street Islamabad
1686-05-09,male,other,Islam,Pakistani,567895678956789,Faisal Ahmed,Teacher,3,1234 Street Lahore
1685-06-10,female,single,Islam,Pakistani,678906789067890,Ghulam Ali,Accountant,4,5678 Street Karachi
1684-07-11,male,married,Islam,Pakistani,789017890178901,Hassan Khan,Professor,5,9012 Street Islamabad
1683-08-12,female,other,Islam,Pakistani,890128901289012,Imran Ahmed,Artist,6,1234 Street Lahore
1682-09-13,male,single,Islam,Pakistani,901239012390123,Javed Ali,Engineer,7,5678 Street Karachi
1681-10-14,female,married,Islam,Pakistani,012340123401234,Khalid Khan,Doctor,8,9012 Street Islamabad
1680-11-15,male,other,Islam,Pakistani,123451234512345,Mohammad Hassan,Teacher,1,1234 Street Lahore
1679-12-16,female,single,Islam,Pakistani,234562345623456,Obaid Ali,Accountant,2,5678 Street Karachi
1678-01-17,male,married,Islam,Pakistani,345673456734567,Shahid Khan,Professor,3,9012 Street Islamabad
1677-02-18,female,other,Islam,Pakistani,456784567845678,Waheed Ahmed,Artist,4,1234 Street Lahore
1676-03-19,male,single,Islam,Pakistani,567895678956789,Yasir Ali,Engineer,5,5678 Street Karachi
1675-04-20,female,married,Islam,Pakistani,678906789067890,Zubair Khan,Doctor,6,9012 Street Islamabad
1674-05-21,male,other,Islam,Pakistani,789017890178901,Asad Ahmed,Teacher,7,1234 Street Lahore
1673-06-22,female,single,Islam,Pakistani,890128901289012,Bilal Ali,Accountant,8,5678 Street Karachi
1672-07-23,male,married,Islam,Pakistani,901239012390123,Fahad Khan,Professor,1,9012 Street Islamabad
1671-08-24,female,other,Islam,Pakistani,012340123401234,Faisal Ahmed,Artist,2,1234 Street Lahore
1670-09-25,male,single,Islam,Pakistani,123451234512345,Ghulam Ali,Engineer,3,5678 Street Karachi
1669-10-26,female,married,Islam,Pakistani,234562345623456,Haris Ali,Doctor,4,9012 Street Islamabad
1668-11-27,male,other,Islam,Pakistani,345673456734567,Imran Khan,Teacher,5,1234 Street Lahore
1667-12-28,female,single,Islam,Pakistani,456784567845678,Javed Ahmed,Accountant,6,5678 Street Karachi
1666-01-29,male,married,Islam,Pakistani,567895678956789,Kamran Ali,Professor,7,9012 Street Islamabad
1665-03-01,female,other,Islam,Pakistani,678906789067890,Khalid Ahmed,Artist,8,1234 Street Lahore
1664-04-02,male,single,Islam,Pakistani,789017890178901,Mohammad Ali,Engineer,1,5678 Street Karachi
1663-05-03,female,married,Islam,Pakistani,890128901289012,Nadeem Khan,Doctor,2,9012 Street Islamabad
1662-06-04,male,other,Islam,Pakistani,901239012390123,Obaid Ahmed,Teacher,3,1234 Street Lahore
1661-07-05,female,single,Islam,Pakistani,012340123401234,Rizwan Ali,Accountant,4,5678 Street Karachi
1660-08-06,male,married,Islam,Pakistani,123451234512345,Saad Ahmed,Professor,5,9012 Street Islamabad
1659-09-07,female,other,Islam,Pakistani,234562345623456,Sajid Khan,Artist,6,1234 Street Lahore
1658-10-08,male,single,Islam,Pakistani,345673456734567,Sajjad Ahmed,Engineer,7,5678 Street Karachi
1657-11-09,female,married,Islam,Pakistani,456784567845678,Salman Ali,Doctor,8,9012 Street Islamabad
1656-12-10,male,other,Islam,Pakistani,567895678956789,Sami Khan,Teacher,1,1234 Street Lahore
1655-01-11,female,single,Islam,Pakistani,678906789067890,Saqib Ali,Accountant,2,5678 Street Karachi
1654-02-12,male,married,Islam,Pakistani,789017890178901,Shahbaz Ahmed,Professor,3,9012 Street Islamabad
1653-03-13,female,other,Islam,Pakistani,890128901289012,Shahid Ali,Artist,4,1234 Street Lahore
1652-04-14,male,single,Islam,Pakistani,901239012390123,Shakeel Ahmed,Engineer,5,5678 Street Karachi
1651-05-15,female,married,Islam,Pakistani,012340123401234,Shoaib Khan,Doctor,6,9012 Street Islamabad
1650-06-16,male,other,Islam,Pakistani,123451234512345,Sohail Ahmed,Teacher,7,1234 Street Lahore
1649-07-17,female,single,Islam,Pakistani,234562345623456,Taimoor Ali,Accountant,8,5678 Street Karachi
1648-08-18,male,married,Islam,Pakistani,345673456734567,Talha Ahmed,Professor,1,9012 Street Islamabad
1647-09-19,female,other,Islam,Pakistani,456784567845678,Tariq Ali,Artist,2,1234 Street Lahore
1646-10-20,male,single,Islam,Pakistani,567895678956789,Waqas Ahmed,Engineer,3,5678 Street Karachi
1645-11-21,female,married,Islam,Pakistani,678906789067890,Waseem Khan,Doctor,4,9012 Street Islamabad
1644-12-22,male,other,Islam,Pakistani,789017890178901,Yasir Ahmed,Teacher,5,1234 Street Lahore
1643-01-23,female,single,Islam,Pakistani,890128901289012,Yasir Khan,Accountant,6,5678 Street Karachi
1642-02-24,male,married,Islam,Pakistani,901239012390123,Zafar Ali,Professor,7,9012 Street Islamabad
1641-03-25,female,other,Islam,Pakistani,012340123401234,Zahid Ahmed,Artist,8,1234 Street Lahore
1640-04-26,male,single,Islam,Pakistani,123451234512345,Zaid Khan,Engineer,1,5678 Street Karachi
1639-05-27,female,married,Islam,Pakistani,234562345623456,Zain Ahmed,Doctor,2,9012 Street Islamabad
1638-06-28,male,other,Islam,Pakistani,345673456734567,Zainab Khan,Teacher,3,1234 Street Lahore
1637-07-29,female,single,Islam,Pakistani,456784567845678,Zainul Abideen,Accountant,4,5678 Street Karachi
1636-08-30,male,married,Islam,Pakistani,567895678956789,Zakir Khan,Professor,5,9012 Street Islamabad
1635-09-01,female,other,Islam,Pakistani,678906789067890,Zara Ahmed,Artist,6,1234 Street Lahore
1634-10-02,male,single,Islam,Pakistani,789017890178901,Zeeshan Ali,Engineer,7,5678 Street Karachi
1633-11-03,female,married,Islam,Pakistani,890128901289012,Zia Ahmed,Doctor,8,9012 Street Islamabad
1632-12-04,male,other,Islam,Pakistani,901239012390123,Zubair Ali,Teacher,1,1234 Street Lahore
1631-01-05,female,single,Islam,Pakistani,012340123401234,Zubair Ahmed,Accountant,2,5678 Street Karachi
1630-02-06,male,married,Islam,Pakistani,123451234512345,Ahmed Ali,Professor,3,9012 Street Islamabad
1629-03-07,female,other,Islam,Pakistani,234562345623456,Asad Khan,Artist,4,1234 Street Lahore
1628-04-08,male,single,Islam,Pakistani,345673456734567,Asad Ahmed,Engineer,5,5678 Street Karachi
1627-05-09,female,married,Islam,Pakistani,456784567845678,Bilal Khan,Doctor,6,9012 Street Islamabad
1626-06-10,male,other,Islam,Pakistani,567895678956789,Faisal Ahmed,Teacher,7,1234 Street Lahore
1625-07-11,female,single,Islam,Pakistani,678906789067890,Ghulam Ali,Accountant,8,5678 Street Karachi
1624-08-12,male,married,Islam,Pakistani,789017890178901,Hassan Khan,Professor,1,9012 Street Islamabad
1623-09-13,female,other,Islam,Pakistani,890128901289012,Imran Ahmed,Artist,2,1234 Street Lahore
1622-10-14,male,single,Islam,Pakistani,901239012390123,Javed Ali,Engineer,3,5678 Street Karachi
1621-11-15,female,married,Islam,Pakistani,012340123401234,Khalid Khan,Doctor,4,9012 Street Islamabad
1620-12-16,male,other,Islam,Pakistani,123451234512345,Mohammad Hassan,Teacher,5,1234 Street Lahore
1619-01-17,female,single,Islam,Pakistani,234562345623456,Obaid Ali,Accountant,6,5678 Street Karachi
1618-02-18,male,married,Islam,Pakistani,345673456734567,Shahid Khan,Professor,7,9012 Street Islamabad
1617-03-19,female,other,Islam,Pakistani,456784567845678,Waheed Ahmed,Artist,8,1234 Street Lahore
1616-04-20,male,single,Islam,Pakistani,567895678956789,Yasir Ali,Engineer,1,5678 Street Karachi
1615-05-21,female,married,Islam,Pakistani,678906789067890,Zubair Khan,Doctor,2,9012 Street Islamabad
1614-06-22,male,other,Islam,Pakistani,789017890178901,Asad Ahmed,Teacher,3,1234 Street Lahore
1613-07-23,female,single,Islam,Pakistani,890128901289012,Bilal Ali,Accountant,4,5678 Street Karachi
1612-08-24,male,married,Islam,Pakistani,901239012390123,Fahad Khan,Professor,5,9012 Street Islamabad
1611-09-25,female,other,Islam,Pakistani,012340123401234,Faisal Ahmed,Artist,6,1234 Street Lahore
1610-10-26,male,single,Islam,Pakistani,123451234512345,Ghulam Ali,Engineer,7,5678 Street Karachi
1609-11-27,female,married,Islam,Pakistani,234562345623456,Haris Ali,Doctor,8,9012 Street Islamabad
1608-12-28,male,other,Islam,Pakistani,345673456734567,Imran Khan,Teacher,1,1234 Street Lahore
1607-01-29,female,single,Islam,Pakistani,456784567845678,Javed Ahmed,Accountant,2,5678 Street Karachi
1606-03-01,male,married,Islam,Pakistani,567895678956789,Kamran Ali,Professor,3,9012 Street Islamabad
1605-04-02,female,other,Islam,Pakistani,678906789067890,Khalid Ahmed,Artist,4,1234 Street Lahore
1604-05-03,male,single,Islam,Pakistani,789017890178901,Mohammad Ali,Engineer,5,5678 Street Karachi
1603-06-04,female,married,Islam,Pakistani,890128901289012,Nadeem Khan,Doctor,6,9012 Street Islamabad
1602-07-05,male,other,Islam,Pakistani,901239012390123,Obaid Ahmed,Teacher,7,1234 Street Lahore
1601-08-06,female,single,Islam,Pakistani,012340123401234,Rizwan Ali,Accountant,8,5678 Street Karachi
1600-09-07,male,married,Islam,Pakistani,123451234512345,Saad Ahmed,Professor,1,9012 Street Islamabad
1599-10-08,female,other,Islam,Pakistani,234562345623456,Sajid Khan,Artist,2,1234 Street Lahore
1598-11-09,male,single,Islam,Pakistani,345673456734567,Sajjad Ahmed,Engineer,3,5678 Street Karachi
1597-12-10,female,married,Islam,Pakistani,456784567845678,Salman Ali,Doctor,4,9012 Street Islamabad
1596-01-11,male,other,Islam,Pakistani,567895678956789,Sami Khan,Teacher,5,1234 Street Lahore
1595-02-12,female,single,Islam,Pakistani,678906789067890,Saqib Ali,Accountant,6,5678 Street Karachi
1594-03-13,male,married,Islam,Pakistani,789017890178901,Shahbaz Ahmed,Professor,7,9012 Street Islamabad
1593-04-14,female,other,Islam,Pakistani,890128901289012,Shahid Ali,Artist,8,1234 Street Lahore
1592-05-15,male,single,Islam,Pakistani,901239012390123,Shakeel Ahmed,Engineer,1,5678 Street Karachi
1591-06-16,female,married,Islam,Pakistani,012340123401234,Shoaib Khan,Doctor,2,9012 Street Islamabad
1590-07-17,male,other,Islam,Pakistani,123451234512345,Sohail Ahmed,Teacher,3,1234 Street Lahore
1589-08-18,female,single,Islam,Pakistani,234562345623456,Taimoor Ali,Accountant,4,5678 Street Karachi
1588-09-19,male,married,Islam,Pakistani,345673456734567,Talha Ahmed,Professor, 7, 5765 street Faislabad
